Block_ID,total_students,sch_BESSIE_RHODES,sch_CHUTE,sch_DAWES,sch_DEWEY,sch_HAVEN,sch_KINGLAB,sch_KINGSLEY,sch_LINCOLN,sch_LINCOLNWOOD,sch_NICHOLS,sch_OAKTON,sch_ORRINGTON,sch_WALKER,sch_WASHINGTON,sch_WILLARD,g_K_2,g_3_5,g_6_8,twi_ENG,twi_OTHER,twi_SPAN,race_BLACK,race_HISPANIC,race_MULTI,race_OTHER,race_WHITE,frl
366,19,0,0,0,0,7,0,0,0,0,0,0,0,0,0,12,6,6,7,1,1,2,5,2,0,0,12,2
367,26,5,0,0,0,5,0,0,0,0,0,0,0,0,0,16,10,9,7,0,0,0,5,0,4,0,17,4
368,13,1,0,0,0,4,0,0,0,0,0,0,0,0,0,8,4,4,4,1,0,0,1,0,0,0,12,2
369,23,0,0,0,0,7,0,0,0,0,0,0,0,0,0,16,4,12,7,1,0,1,0,2,2,0,18,0
370,17,0,0,0,0,4,0,0,0,0,0,1,0,0,0,12,9,4,4,0,0,0,0,0,2,0,15,0
371,37,1,0,0,0,15,0,0,0,0,0,0,0,0,0,21,12,10,15,1,0,0,2,2,1,0,32,2
372,10,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8,6,4,0,0,0,0,0,0,3,0,7,0
373,13,1,0,0,0,4,0,0,0,0,0,0,0,0,0,8,4,4,4,1,0,0,1,0,0,0,12,2
374,37,0,0,0,0,12,0,0,0,0,0,0,0,0,0,25,15,10,12,0,0,0,0,1,0,0,36,0
375,14,0,0,0,0,0,6,6,0,0,0,0,2,0,0,0,4,9,1,0,0,0,0,0,0,0,14,0
376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
377,10,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,2,5,4,0,0,0,2,0,0,2,7,2
378,14,0,0,0,0,7,2,5,0,0,0,0,0,0,0,0,3,4,7,0,0,0,3,0,0,4,7,5
379,3,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,2,1,1,0,0,0,1,1,0,0,2,1
380,19,0,0,0,0,0,0,17,0,0,2,0,0,0,0,0,8,9,2,0,0,0,0,1,0,0,18,0
381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
382,19,0,1,0,0,8,0,0,0,0,0,0,10,0,0,0,5,5,9,0,3,0,0,0,3,5,11,2
383,21,0,0,0,0,8,0,6,0,0,0,0,7,0,0,0,6,8,8,0,0,0,0,2,4,4,10,6
384,20,2,0,0,0,8,0,10,0,0,0,0,0,0,0,0,1,9,10,0,0,0,0,0,12,0,8,6
385,3,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,2,1,1,0,0,0,1,1,0,0,2,1
386,21,0,0,0,0,8,0,6,0,0,0,0,7,0,0,0,6,8,8,0,0,0,0,2,4,4,10,6
387,27,0,0,0,0,12,0,0,0,0,0,0,15,0,0,0,6,9,12,0,0,0,0,2,9,0,16,0
388,25,0,0,0,0,11,0,11,0,2,0,1,0,0,0,0,6,8,11,0,2,1,2,1,4,6,12,9
389,3,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,2,1,1,0,0,0,1,1,0,0,2,1
390,11,0,0,0,0,2,0,7,0,0,0,0,2,0,0,0,3,6,2,0,2,0,2,3,0,0,6,4
391,26,0,0,0,0,13,0,11,0,2,0,0,0,0,0,0,4,9,13,0,0,0,4,0,6,0,16,0
392,6,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,6,0
393,26,1,0,2,0,3,0,0,1,0,0,0,16,0,3,0,16,7,3,2,8,3,1,3,2,10,10,9
394,25,0,0,0,0,6,0,0,0,0,0,0,19,0,0,0,10,8,6,0,0,0,0,0,2,2,22,0
395,17,0,0,0,0,6,0,0,0,0,0,0,11,0,0,0,8,3,6,0,0,0,0,0,3,0,14,0
396,10,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,2,5,4,0,0,0,2,0,0,2,7,2
397,20,0,0,0,0,4,0,16,0,0,0,0,0,0,0,0,9,7,4,0,1,0,2,3,0,0,15,0
398,6,0,0,0,0,2,0,2,0,0,0,0,2,0,0,0,0,3,2,0,0,0,0,0,0,2,4,0
399,19,0,0,0,0,7,0,11,0,0,0,0,0,0,0,1,8,4,7,0,0,2,0,2,4,1,12,2
400,19,0,0,0,0,3,0,16,0,0,0,0,0,0,0,0,9,7,3,0,0,0,4,0,0,0,15,0
401,26,0,0,0,0,6,0,20,0,0,0,0,0,0,0,0,10,10,6,0,0,0,0,2,4,0,20,0
402,5,0,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,4,0
